gene	Brain - Spinal cord (cervical c-1)	Brain - Hypothalamus	Nerve - Tibial	Artery - Tibial	Artery - Aorta	Artery - Coronary	Whole Blood
REV3L	4.25281	5.28075	9.70368	14.9695	9.92885	12.0334	0.941329
RNA5SP299	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNF213	13.7788	4.97312	31.6432	17.8181	23.1662	22.1252	23.4211
RNF219-AS1	1.88497	2.33295	0.0694323	0.0115015	0.0135508	0.01687	0.0
RNU6-546P	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-373A6.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-384J4.2	0.0	0.0326584	0.0	0.0	0.0	0.0	0.0
RP11-573J24.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-690J15.1	0.0	0.0	0.102465	0.0	0.0	0.0	0.0
RP11-81K2.1	1.43958	0.476711	0.613155	0.0	0.167222	0.189685	0.373595
RUNX1	1.17002	0.584319	13.113	5.18728	6.65702	8.88739	6.09125
SEC63P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SERPINA1	8.28522	2.67652	5.4717	3.26811	8.50069	8.57795	820.192
SKOR2	0.031649	0.0366964	0.0	0.0	0.0	0.0	0.0
SLC24A3	3.37894	19.0148	2.9328	46.2669	45.418	25.6825	0.92197
SMG6	5.58802	5.62768	11.8754	13.3359	10.9704	10.1385	2.12001
SNX24	31.8151	8.12001	25.9055	7.96248	9.8847	9.38134	0.606736
SPATA19	0.0	0.0567809	0.0	0.0659864	0.0705394	0.0421809	0.0
SPINK2	0.357824	0.374842	0.104571	0.107302	0.147318	0.328803	0.277581
SSBP2	7.02427	8.1784	21.2927	20.6973	14.2722	15.8452	1.07216
SUGCT	0.724507	0.917	1.91917	9.65674	25.9622	15.9457	0.0833891
SUGP1	16.4011	17.6844	28.131	20.525	20.214	19.2774	13.1784
TBC1D16	7.45651	7.44304	24.9641	14.5928	19.9087	16.3846	0.452997
TGFBR2	17.3074	9.74991	261.055	205.243	254.36	260.495	46.7908
TGFBR3	2.46213	2.48283	47.9908	29.8654	18.6082	29.8573	1.06181
THADA	2.37157	1.89644	9.78914	7.69317	7.66979	7.04586	2.48733
TJP2	68.8408	18.3408	85.4845	62.359	103.593	74.8842	2.45545
TMEM51	3.84777	2.73494	12.7612	18.9755	7.09395	22.0358	0.674957
TRPM8	0.0292884	0.114981	0.0	0.0	0.0	0.0	0.00863564
TSPAN12	2.40787	3.33964	5.80213	28.0616	9.13044	13.945	0.0331993
TSPAN2	1.12716	2.43999	3.27111	57.6416	47.5027	30.1827	14.0017
YAP1	7.56276	8.44349	83.084	180.345	189.668	122.253	0.123076
ZBTB4	53.5516	40.7522	96.3626	110.303	98.0398	76.3371	9.66716
ZCCHC14	8.90793	9.54194	26.3576	39.7553	34.1902	26.5835	1.53851
ZEB2	67.9321	15.0523	47.6258	33.149	16.9323	26.5048	9.54747
ZMYND8	12.5061	14.8247	29.6811	15.837	13.4486	14.4382	3.16957
ZNF462	3.58648	3.22281	10.7261	2.07558	2.81799	3.64239	0.0197576
ZNF474	0.181176	0.289863	0.455063	0.330401	0.288904	0.301156	0.0
