gene	source
ITPK1	nearest,eQTL
ITPRIPL1	eQTL
JAG1	nearest
JPH3	eQTL
KANSL3	eQTL
KATNA1	eQTL
KATNAL2	eQTL
KCNE2	eQTL
KCNIP3	eQTL
KCNK5	nearest,eQTL
KIAA0586	eQTL
KIAA1919	eQTL
KIF26B	nearest
KLHDC4	eQTL
KLHDC8B	eQTL
KNDC1	eQTL
KRT19P1	nearest
LAMP5	eQTL
LATS1	eQTL
LEPR	nearest
LEPROT	eQTL
LINC00243	eQTL
LINC00310	eQTL
LINC00342	eQTL
LINC00472	eQTL
LINC00568	eQTL
LINC01124	eQTL
LMAN2	eQTL
LMAN2L	eQTL
LPAR2	eQTL
LRCH1	nearest,eQTL
LRFN4	eQTL
LRFN5	nearest,eQTL
LRP1	nearest,eQTL
LRP11	eQTL
LTBP2	eQTL
LYSMD1	eQTL
LYVE1	eQTL
MACF1	nearest,eQTL
MADD	eQTL
MAL	eQTL
MAMDC2	eQTL
MANEAL	eQTL
MAP4	eQTL
MAPKAPK2	nearest
MAU2	eQTL
MCCD1P2	eQTL
MCL1	eQTL
MDK	eQTL
MEAF6	eQTL
MED14	nearest
MEF2D	nearest,eQTL
MGRN1	eQTL
MICA	eQTL
MICB	eQTL
MLH3	eQTL
MLLT10	nearest,eQTL
MLLT11	eQTL
MLXIPL	nearest,eQTL
MPDU1	eQTL
MPPED2	nearest,eQTL
MRC2	nearest,eQTL
MRGPRE	nearest,eQTL
MRPS14	eQTL
MRPS18AP1	eQTL
MRPS21	eQTL
MRPS6	nearest,eQTL
MRVI1	nearest,eQTL
MSH5	eQTL
MTF1	eQTL
MTG1	eQTL
MXD3	eQTL
MYO3B	nearest,eQTL
NAB2	eQTL
NBEAL1	eQTL
NCKIPSD	eQTL
NCOR2	nearest,eQTL
NCR3	eQTL
NDUFS5	eQTL
NEBL	eQTL
NEK9	eQTL
NEU1	eQTL
NEURL3	eQTL
NFE2L1	eQTL
NFIB	nearest,eQTL
NICN1	eQTL
NKX2-5	nearest,eQTL
NME6	eQTL
NMRAL1	eQTL
NOA1	eQTL
NOC3L	eQTL
NPAS4	eQTL
NR1H3	eQTL
NR4A2	eQTL
NSD1	nearest
NT5C2	eQTL
NUCKS1	eQTL
NUP43	eQTL
OGFRL1	eQTL
OR7E102P	eQTL
OXCT2	eQTL
OXCT2P1	eQTL
P4HTM	eQTL
PABPC4	eQTL
PAM16	eQTL
PBX4	eQTL
PC	eQTL
PCGF6	eQTL
PCMT1	nearest,eQTL
PDCD4	eQTL
PDE3B	eQTL
PDZRN4	nearest
PELI3	eQTL
PGF	eQTL
PGM5	eQTL
PHACTR1	nearest,eQTL
PHF21A	eQTL
PIAS2	eQTL
PLA2G4A	nearest,eQTL
PLCE1	nearest,eQTL
PLCE1-AS1	eQTL
PLEKHA1	eQTL
PLEKHH2	eQTL
PLXNB1	eQTL
PNPLA7	eQTL
POC1B	eQTL
POC1B-GALNT4	eQTL
POC5	eQTL
POLK	eQTL
POLR2A	eQTL
POLR2B	eQTL
POU4F3	nearest
PPHLN1	eQTL
PPIC	eQTL
PPIE	eQTL
PPIEL	eQTL
PPIL4	eQTL
PPP1R2P2	eQTL
PPT2	eQTL
PRDM16	nearest
PRELID1	eQTL
PRKAR2A	eQTL
PRL	nearest
PROM2	eQTL
PROX2	eQTL
PRRT1	eQTL
PSORS1C1	eQTL
PSORS1C2	eQTL
PTGS2	eQTL
PTK2B	nearest,eQTL
QRICH1	eQTL
R3HDM2	eQTL
RAB24	eQTL
RAB3IL1	nearest,eQTL
RABAC1	eQTL
RABGAP1L	nearest,eQTL
RAD9A	eQTL
RAET1E	eQTL
RAET1E-AS1	eQTL
RAET1G	eQTL
RANBP1	eQTL
RAPH1	eQTL
RASSF5	eQTL
RBBP8	nearest
RBM14-RBM4|RBM4	nearest
RBM20	nearest,eQTL
RBMS2	eQTL
RCE1	eQTL
REST	eQTL
REV3L	nearest,eQTL
RHOD	eQTL
RIMS1	eQTL
RIN1	eQTL
RN7SL689P	eQTL
RNA5SP299	nearest
RNF141	eQTL
RNF213	nearest,eQTL
RNF219-AS1	nearest
RNF39	eQTL
RNU6-546P	nearest
RP1-257A7.4	eQTL
RP1-281H8.3	eQTL
RP11-244K5.8	eQTL
RP11-24C3.2	eQTL
RP11-252K23.2	eQTL
RP11-264C15.2	eQTL
RP11-282I1.1	eQTL
RP11-349A22.5	eQTL
RP11-350J20.12	eQTL
RP11-350J20.4	eQTL
RP11-350J20.5	eQTL
RP11-350J20.9	eQTL
RP11-353N14.4	eQTL
RP11-373A6.1	nearest
RP11-384J4.2	nearest
RP11-410N8.4	eQTL
RP11-416A14.1	eQTL
RP11-420K8.1	eQTL
RP11-441O15.3	eQTL
RP11-448P19.1	eQTL
RP11-464D20.6	eQTL
RP11-54A4.2	eQTL
RP11-573J24.1	nearest
RP11-579E24.1	eQTL
RP11-579E24.2	eQTL
RP11-67K19.3	eQTL
RP11-690J15.1	nearest
RP11-69E11.4	eQTL
RP11-69E11.8	eQTL
RP11-734K2.4	eQTL
RP11-738E22.3	eQTL
RP11-755F10.1	eQTL
RP11-76P2.4	eQTL
RP11-77K12.1	eQTL
RP11-81K2.1	nearest
RP11-950C14.7	eQTL
RP11-981P6.1	eQTL
RP4-598G3.1	nearest,eQTL
RP5-1112D6.4	eQTL
RP5-1112D6.7	eQTL
RP5-1112D6.8	eQTL
RP5-890O15.3	eQTL
RPF2	eQTL
RPL7AP33	eQTL
RPRD2	eQTL
RPS18P9	eQTL
RPS23	eQTL
RPS6KL1	eQTL
RSL24D1P6	eQTL
RTN4R	eQTL
RUNX1	nearest
SAT2	eQTL
SCRN2	eQTL
SEC63P2	nearest
SEMA6C	eQTL
SENP3	eQTL
SERPINA1	nearest,eQTL
SETDB1	eQTL
SF3A3	eQTL
SF3B2	eQTL
SFXN2	eQTL
SGSM2	eQTL
SH3PXD2A	eQTL
SHD	eQTL
SHISA5	eQTL
SKAP1	eQTL
SKIDA1	eQTL
SKIV2L	eQTL
SKOR2	nearest
SLC16A10	eQTL
SLC24A3	nearest,eQTL
SLC26A2	eQTL
SLC26A6	eQTL
SLC35G6	eQTL
SLC39A13	eQTL
SLC5A3	eQTL
SMG6	nearest
SNCAIP	eQTL
SNIP1	eQTL
SNX2	eQTL
SNX24	nearest,eQTL
SOX15	eQTL
SP5	eQTL
SPATA19	nearest,eQTL
SPI1	eQTL
SPINK2	nearest
SPINK8	eQTL
SRR	eQTL
SSBP2	nearest
STAT6	eQTL
SUGCT	nearest,eQTL
SUGP1	nearest
SV2C	eQTL
TANGO2	eQTL
TARS2	eQTL
TBC1D12	eQTL
TBC1D16	nearest,eQTL
TBC1D7	eQTL
TBKBP1	eQTL
TBL2	eQTL
TCEB3C	eQTL
TCEB3CL	eQTL
TCEB3CL2	eQTL
TCTA	eQTL
TGFB1	eQTL
TGFBR2	nearest
TGFBR3	nearest,eQTL
THADA	nearest,eQTL
TIGD6	eQTL
TIGD6|HMGXB3	nearest
TJP2	nearest,eQTL
TM6SF2	eQTL
TM9SF4	eQTL
TMA7	eQTL
TMED10	eQTL
TMEM102	eQTL
TMEM127	eQTL
TMEM170A	eQTL
TMEM194A	eQTL
TMEM50B	eQTL
TMEM51	nearest,eQTL
TMEM79	eQTL
TMEM91	eQTL
TNFAIP8L2	eQTL
TNFSF12	eQTL
TNFSF12-TNFSF13	eQTL
TNFSF13	eQTL
TPR	eQTL
TRAF3IP2	eQTL
TREX1	eQTL
TRIM26	eQTL
TRIM32	eQTL
TRIM35	eQTL
TRIM50	eQTL
TRIM8	eQTL
TRMT2A	eQTL
TRPM8	nearest
TSPAN12	nearest,eQTL
TSPAN2	nearest,eQTL
UBR7	eQTL
UFL1	eQTL
UIMC1	eQTL
ULBP2	eQTL
UMPS	eQTL
USMG5	eQTL
UTP11L	eQTL
VPS26B	eQTL
WBP1L	eQTL
WDR12	eQTL
WDR6	eQTL
XXbac-BPG181B23.7	eQTL
XXbac-BPG248L24.12	eQTL
YAP1	nearest,eQTL
YJEFN3	eQTL
YRDC	eQTL
ZBTB4	nearest,eQTL
ZC2HC1C	eQTL
ZC3H12D	eQTL
ZCCHC14	nearest,eQTL
ZDHHC24	eQTL
ZDHHC8	eQTL
ZEB2	nearest,eQTL
ZFP36L2	eQTL
ZMYND8	nearest,eQTL
ZNF101	eQTL
ZNF462	nearest,eQTL
ZNF474	nearest
ZNF506	eQTL
ZNF514	eQTL
ZNF589	eQTL
ZNF654	eQTL
